AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
Southwest Airlines Co.,MDW,"Chicago, IL",DEN,"Denver, CO",895.0
SkyWest Airlines Inc.,CVG,"Cincinnati, OH",ORD,"Chicago, IL",264.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",BZN,"Bozeman, MT",347.0
American Airlines Inc.,CLT,"Charlotte, NC",BNA,"Nashville, TN",328.0
Delta Air Lines Inc.,DTW,"Detroit, MI",MCO,"Orlando, FL",957.0
Mesa Airlines Inc.,CID,"Cedar Rapids/Iowa City, IA",DFW,"Dallas/Fort Worth, TX",685.0
Endeavor Air Inc.,ATL,"Atlanta, GA",XNA,"Fayetteville, AR",589.0
SkyWest Airlines Inc.,ACT,"Waco, TX",DFW,"Dallas/Fort Worth, TX",89.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",GRK,"Killeen, TX",134.0
Southwest Airlines Co.,OMA,"Omaha, NE",MDW,"Chicago, IL",423.0
SkyWest Airlines Inc.,RNO,"Reno, NV",PDX,"Portland, OR",444.0
JetBlue Airways,JFK,"New York, NY",SJU,"San Juan, PR",1598.0
American Airlines Inc.,GEG,"Spokane, WA",DFW,"Dallas/Fort Worth, TX",1477.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",GRR,"Grand Rapids, MI",408.0
Southwest Airlines Co.,SMF,"Sacramento, CA",SAN,"San Diego, CA",480.0
Mesa Airlines Inc.,IAH,"Houston, TX",RIC,"Richmond, VA",1157.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",RDU,"Raleigh/Durham, NC",2026.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",GRR,"Grand Rapids, MI",931.0
SkyWest Airlines Inc.,SFO,"San Francisco, CA",ONT,"Ontario, CA",363.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",AVP,"Scranton/Wilkes-Barre, PA",714.0
United Air Lines Inc.,SFO,"San Francisco, CA",IAD,"Washington, DC",2419.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",JFK,"New York, NY",760.0
American Airlines Inc.,BNA,"Nashville, TN",PHL,"Philadelphia, PA",675.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",DRT,"Del Rio, TX",335.0
United Air Lines Inc.,LAS,"Las Vegas, NV",EWR,"Newark, NJ",2227.0
SkyWest Airlines Inc.,COS,"Colorado Springs, CO",ORD,"Chicago, IL",911.0
PSA Airlines Inc.,CLT,"Charlotte, NC",SBN,"South Bend, IN",534.0
SkyWest Airlines Inc.,DEN,"Denver, CO",LNK,"Lincoln, NE",423.0
American Airlines Inc.,DTW,"Detroit, MI",DFW,"Dallas/Fort Worth, TX",986.0
PSA Airlines Inc.,OAJ,"Jacksonville/Camp Lejeune, NC",CLT,"Charlotte, NC",191.0
Southwest Airlines Co.,MCI,"Kansas City, MO",MSP,"Minneapolis, MN",393.0
Allegiant Air,ABE,"Allentown/Bethlehem/Easton, PA",BNA,"Nashville, TN",685.0
American Airlines Inc.,CLT,"Charlotte, NC",MCO,"Orlando, FL",468.0
American Airlines Inc.,EGE,"Eagle, CO",DFW,"Dallas/Fort Worth, TX",721.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",SMF,"Sacramento, CA",397.0
Endeavor Air Inc.,PVD,"Providence, RI",LGA,"New York, NY",143.0
PSA Airlines Inc.,DCA,"Washington, DC",GSP,"Greer, SC",396.0
United Air Lines Inc.,IAD,"Washington, DC",SFO,"San Francisco, CA",2419.0
United Air Lines Inc.,IAD,"Washington, DC",TPA,"Tampa, FL",811.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",FLL,"Fort Lauderdale, FL",581.0
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",ICT,"Wichita, KS",545.0
Endeavor Air Inc.,ATL,"Atlanta, GA",GTR,"Columbus, MS",241.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",IAD,"Washington, DC",534.0
Spirit Air Lines,MSY,"New Orleans, LA",MCO,"Orlando, FL",551.0
Republic Airline,LGA,"New York, NY",GSO,"Greensboro/High Point, NC",461.0
Republic Airline,CRP,"Corpus Christi, TX",IAH,"Houston, TX",201.0
Southwest Airlines Co.,DEN,"Denver, CO",OAK,"Oakland, CA",957.0
Mesa Airlines Inc.,PHX,"Phoenix, AZ",LBB,"Lubbock, TX",588.0
Allegiant Air,FNT,"Flint, MI",PGD,"Punta Gorda, FL",1111.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",TPA,"Tampa, FL",1306.0
Delta Air Lines Inc.,BHM,"Birmingham, AL",ATL,"Atlanta, GA",134.0
Southwest Airlines Co.,SMF,"Sacramento, CA",LAS,"Las Vegas, NV",397.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",OAK,"Oakland, CA",588.0
PSA Airlines Inc.,CLT,"Charlotte, NC",HSV,"Huntsville, AL",333.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",OKC,"Oklahoma City, OK",175.0
Envoy Air,ORD,"Chicago, IL",LAN,"Lansing, MI",179.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",SJC,"San Jose, CA",386.0
American Airlines Inc.,CLT,"Charlotte, NC",MSP,"Minneapolis, MN",930.0
Delta Air Lines Inc.,IAD,"Washington, DC",MSP,"Minneapolis, MN",908.0
Delta Air Lines Inc.,PIT,"Pittsburgh, PA",ATL,"Atlanta, GA",526.0
American Airlines Inc.,ORD,"Chicago, IL",STL,"St. Louis, MO",258.0
Endeavor Air Inc.,CLE,"Cleveland, OH",LGA,"New York, NY",419.0
Southwest Airlines Co.,GEG,"Spokane, WA",OAK,"Oakland, CA",723.0
United Air Lines Inc.,IAH,"Houston, TX",MSY,"New Orleans, LA",305.0
SkyWest Airlines Inc.,ATL,"Atlanta, GA",FWA,"Fort Wayne, IN",508.0
SkyWest Airlines Inc.,DEN,"Denver, CO",FAR,"Fargo, ND",627.0
Southwest Airlines Co.,AUS,"Austin, TX",SAN,"San Diego, CA",1164.0
Southwest Airlines Co.,DAL,"Dallas, TX",MKE,"Milwaukee, WI",850.0
Envoy Air,ORF,"Norfolk, VA",ORD,"Chicago, IL",717.0
Southwest Airlines Co.,MSY,"New Orleans, LA",PHX,"Phoenix, AZ",1300.0
Frontier Airlines Inc.,PHL,"Philadelphia, PA",PBI,"West Palm Beach/Palm Beach, FL",951.0
Alaska Airlines Inc.,WRG,"Wrangell, AK",KTN,"Ketchikan, AK",82.0
JetBlue Airways,RIC,"Richmond, VA",MCO,"Orlando, FL",667.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",MSN,"Madison, WI",821.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",MIA,"Miami, FL",1501.0
American Airlines Inc.,SAV,"Savannah, GA",CLT,"Charlotte, NC",213.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",SAV,"Savannah, GA",214.0
United Air Lines Inc.,IAH,"Houston, TX",FLL,"Fort Lauderdale, FL",966.0
Southwest Airlines Co.,AUS,"Austin, TX",BNA,"Nashville, TN",756.0
SkyWest Airlines Inc.,CHA,"Chattanooga, TN",DTW,"Detroit, MI",505.0
Republic Airline,BUF,"Buffalo, NY",PHL,"Philadelphia, PA",279.0
United Air Lines Inc.,DEN,"Denver, CO",RIC,"Richmond, VA",1482.0
Southwest Airlines Co.,MCI,"Kansas City, MO",PHX,"Phoenix, AZ",1044.0
American Airlines Inc.,ORD,"Chicago, IL",RSW,"Fort Myers, FL",1120.0
SkyWest Airlines Inc.,SEA,"Seattle, WA",ONT,"Ontario, CA",956.0
SkyWest Airlines Inc.,PDX,"Portland, OR",OAK,"Oakland, CA",543.0
American Airlines Inc.,MIA,"Miami, FL",STT,"Charlotte Amalie, VI",1107.0
Republic Airline,SDF,"Louisville, KY",PHL,"Philadelphia, PA",576.0
Spirit Air Lines,MCI,"Kansas City, MO",LAX,"Los Angeles, CA",1363.0
Southwest Airlines Co.,RDU,"Raleigh/Durham, NC",BWI,"Baltimore, MD",255.0
American Airlines Inc.,PHL,"Philadelphia, PA",CLE,"Cleveland, OH",363.0
Republic Airline,MSY,"New Orleans, LA",DCA,"Washington, DC",969.0
SkyWest Airlines Inc.,FCA,"Kalispell, MT",SLC,"Salt Lake City, UT",531.0
Mesa Airlines Inc.,PHX,"Phoenix, AZ",ONT,"Ontario, CA",325.0
JetBlue Airways,MSY,"New Orleans, LA",LGA,"New York, NY",1183.0
Alaska Airlines Inc.,SEA,"Seattle, WA",JNU,"Juneau, AK",909.0
Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA",ATL,"Atlanta, GA",694.0
Republic Airline,MSY,"New Orleans, LA",IAD,"Washington, DC",955.0
Allegiant Air,CVG,"Cincinnati, OH",PGD,"Punta Gorda, FL",850.0
American Airlines Inc.,CLT,"Charlotte, NC",PHX,"Phoenix, AZ",1773.0
United Air Lines Inc.,LAX,"Los Angeles, CA",ORD,"Chicago, IL",1744.0
PSA Airlines Inc.,ECP,"Panama City, FL",CLT,"Charlotte, NC",437.0
United Air Lines Inc.,LAS,"Las Vegas, NV",ORD,"Chicago, IL",1514.0
Southwest Airlines Co.,DEN,"Denver, CO",BUR,"Burbank, CA",850.0
JetBlue Airways,CHS,"Charleston, SC",JFK,"New York, NY",636.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",PHL,"Philadelphia, PA",1303.0
SkyWest Airlines Inc.,FSD,"Sioux Falls, SD",DEN,"Denver, CO",483.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",RDM,"Bend/Redmond, OR",525.0
Envoy Air,MOB,"Mobile, AL",DFW,"Dallas/Fort Worth, TX",539.0
PSA Airlines Inc.,CLT,"Charlotte, NC",CHO,"Charlottesville, VA",245.0
Southwest Airlines Co.,SAN,"San Diego, CA",SAT,"San Antonio, TX",1129.0
PSA Airlines Inc.,CLT,"Charlotte, NC",LIT,"Little Rock, AR",640.0
Delta Air Lines Inc.,LAX,"Los Angeles, CA",AUS,"Austin, TX",1242.0
Mesa Airlines Inc.,IAD,"Washington, DC",IAH,"Houston, TX",1190.0
JetBlue Airways,BOS,"Boston, MA",MCO,"Orlando, FL",1121.0
Delta Air Lines Inc.,PHL,"Philadelphia, PA",MSP,"Minneapolis, MN",980.0
Republic Airline,PWM,"Portland, ME",LGA,"New York, NY",269.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",MRY,"Monterey, CA",1430.0
Delta Air Lines Inc.,RDU,"Raleigh/Durham, NC",MSP,"Minneapolis, MN",980.0
Hawaiian Airlines Inc.,HNL,"Honolulu, HI",ITO,"Hilo, HI",216.0
SkyWest Airlines Inc.,SEA,"Seattle, WA",PDX,"Portland, OR",129.0
Delta Air Lines Inc.,MSP,"Minneapolis, MN",BNA,"Nashville, TN",695.0
Frontier Airlines Inc.,XNA,"Fayetteville, AR",DEN,"Denver, CO",616.0
Spirit Air Lines,DTW,"Detroit, MI",DEN,"Denver, CO",1123.0
Southwest Airlines Co.,ATL,"Atlanta, GA",MDW,"Chicago, IL",591.0
PSA Airlines Inc.,CLT,"Charlotte, NC",MOB,"Mobile, AL",526.0
Endeavor Air Inc.,IAD,"Washington, DC",JFK,"New York, NY",228.0
Allegiant Air,FWA,"Fort Wayne, IN",PIE,"St. Petersburg, FL",912.0
SkyWest Airlines Inc.,SHV,"Shreveport, LA",DFW,"Dallas/Fort Worth, TX",190.0
SkyWest Airlines Inc.,DEN,"Denver, CO",SBP,"San Luis Obispo, CA",931.0
PSA Airlines Inc.,CLT,"Charlotte, NC",MCI,"Kansas City, MO",808.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",MAF,"Midland/Odessa, TX",429.0
Frontier Airlines Inc.,LAS,"Las Vegas, NV",SEA,"Seattle, WA",867.0
Mesa Airlines Inc.,PNS,"Pensacola, FL",IAH,"Houston, TX",489.0
SkyWest Airlines Inc.,PIT,"Pittsburgh, PA",DTW,"Detroit, MI",201.0
Southwest Airlines Co.,MSY,"New Orleans, LA",HOU,"Houston, TX",302.0
JetBlue Airways,LGA,"New York, NY",PBI,"West Palm Beach/Palm Beach, FL",1035.0
Delta Air Lines Inc.,PHL,"Philadelphia, PA",SLC,"Salt Lake City, UT",1927.0
American Airlines Inc.,PHL,"Philadelphia, PA",LAS,"Las Vegas, NV",2176.0
Republic Airline,MIA,"Miami, FL",MEM,"Memphis, TN",859.0
Spirit Air Lines,FLL,"Fort Lauderdale, FL",DFW,"Dallas/Fort Worth, TX",1119.0
Endeavor Air Inc.,ATL,"Atlanta, GA",SHV,"Shreveport, LA",551.0
PSA Airlines Inc.,PHL,"Philadelphia, PA",DAY,"Dayton, OH",477.0
Southwest Airlines Co.,SNA,"Santa Ana, CA",SJC,"San Jose, CA",342.0
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",ONT,"Ontario, CA",558.0
Horizon Air,GEG,"Spokane, WA",SEA,"Seattle, WA",224.0
United Air Lines Inc.,AUS,"Austin, TX",DEN,"Denver, CO",775.0
JetBlue Airways,BUR,"Burbank, CA",BOS,"Boston, MA",2601.0
Delta Air Lines Inc.,TPA,"Tampa, FL",ATL,"Atlanta, GA",406.0
Allegiant Air,LAS,"Las Vegas, NV",OAK,"Oakland, CA",407.0
Southwest Airlines Co.,BNA,"Nashville, TN",RSW,"Fort Myers, FL",722.0
Mesa Airlines Inc.,SDF,"Louisville, KY",DFW,"Dallas/Fort Worth, TX",733.0
PSA Airlines Inc.,MYR,"Myrtle Beach, SC",CLT,"Charlotte, NC",157.0
American Airlines Inc.,STL,"St. Louis, MO",MIA,"Miami, FL",1068.0
Delta Air Lines Inc.,JFK,"New York, NY",FLL,"Fort Lauderdale, FL",1069.0
Endeavor Air Inc.,BDL,"Hartford, CT",MSP,"Minneapolis, MN",1050.0
SkyWest Airlines Inc.,FWA,"Fort Wayne, IN",ORD,"Chicago, IL",157.0
American Airlines Inc.,CLT,"Charlotte, NC",CLE,"Cleveland, OH",430.0
Southwest Airlines Co.,MCO,"Orlando, FL",DEN,"Denver, CO",1546.0
PSA Airlines Inc.,PHL,"Philadelphia, PA",GRR,"Grand Rapids, MI",573.0
Southwest Airlines Co.,DAL,"Dallas, TX",PHX,"Phoenix, AZ",879.0
Endeavor Air Inc.,DTW,"Detroit, MI",CLE,"Cleveland, OH",95.0
SkyWest Airlines Inc.,CHO,"Charlottesville, VA",ORD,"Chicago, IL",566.0
Spirit Air Lines,MCO,"Orlando, FL",PIT,"Pittsburgh, PA",834.0
Envoy Air,RDU,"Raleigh/Durham, NC",AUS,"Austin, TX",1162.0
Southwest Airlines Co.,HOU,"Houston, TX",OAK,"Oakland, CA",1642.0
Delta Air Lines Inc.,SMF,"Sacramento, CA",ATL,"Atlanta, GA",2092.0
Southwest Airlines Co.,BUF,"Buffalo, NY",BWI,"Baltimore, MD",281.0
SkyWest Airlines Inc.,ALB,"Albany, NY",ORD,"Chicago, IL",723.0
Endeavor Air Inc.,ATL,"Atlanta, GA",CHO,"Charlottesville, VA",457.0
Republic Airline,EWR,"Newark, NJ",CVG,"Cincinnati, OH",569.0
Republic Airline,IAH,"Houston, TX",BTR,"Baton Rouge, LA",253.0
Envoy Air,CMH,"Columbus, OH",MIA,"Miami, FL",990.0
Southwest Airlines Co.,DAL,"Dallas, TX",ATL,"Atlanta, GA",721.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",PSP,"Palm Springs, CA",541.0
Southwest Airlines Co.,RNO,"Reno, NV",DEN,"Denver, CO",804.0
SkyWest Airlines Inc.,ATL,"Atlanta, GA",ILM,"Wilmington, NC",377.0
SkyWest Airlines Inc.,MRY,"Monterey, CA",SAN,"San Diego, CA",375.0
Southwest Airlines Co.,MIA,"Miami, FL",BNA,"Nashville, TN",806.0
Southwest Airlines Co.,TPA,"Tampa, FL",FLL,"Fort Lauderdale, FL",197.0
Delta Air Lines Inc.,SDF,"Louisville, KY",ATL,"Atlanta, GA",321.0
Envoy Air,ORD,"Chicago, IL",SGF,"Springfield, MO",438.0
United Air Lines Inc.,BDL,"Hartford, CT",ORD,"Chicago, IL",783.0
SkyWest Airlines Inc.,DEN,"Denver, CO",HYS,"Hays, KS",298.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",SEA,"Seattle, WA",2182.0
Mesa Airlines Inc.,ELP,"El Paso, TX",DFW,"Dallas/Fort Worth, TX",551.0
Southwest Airlines Co.,DAL,"Dallas, TX",BWI,"Baltimore, MD",1209.0
Republic Airline,PHL,"Philadelphia, PA",IND,"Indianapolis, IN",588.0
Southwest Airlines Co.,TPA,"Tampa, FL",BNA,"Nashville, TN",612.0
Endeavor Air Inc.,DTW,"Detroit, MI",CID,"Cedar Rapids/Iowa City, IA",430.0
Endeavor Air Inc.,RIC,"Richmond, VA",DTW,"Detroit, MI",456.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",SAT,"San Antonio, TX",843.0
Frontier Airlines Inc.,ATL,"Atlanta, GA",LAS,"Las Vegas, NV",1747.0
Endeavor Air Inc.,JFK,"New York, NY",SAV,"Savannah, GA",718.0
Southwest Airlines Co.,MDW,"Chicago, IL",SJC,"San Jose, CA",1838.0
American Airlines Inc.,ORD,"Chicago, IL",BOS,"Boston, MA",867.0
United Air Lines Inc.,ONT,"Ontario, CA",SFO,"San Francisco, CA",363.0
Southwest Airlines Co.,SLC,"Salt Lake City, UT",MDW,"Chicago, IL",1259.0
Mesa Airlines Inc.,PHX,"Phoenix, AZ",IAH,"Houston, TX",1009.0
JetBlue Airways,JFK,"New York, NY",BOS,"Boston, MA",187.0
JetBlue Airways,BOS,"Boston, MA",RDU,"Raleigh/Durham, NC",612.0
Endeavor Air Inc.,SCE,"State College, PA",DTW,"Detroit, MI",301.0
United Air Lines Inc.,PDX,"Portland, OR",DEN,"Denver, CO",991.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",EWR,"Newark, NJ",746.0
Southwest Airlines Co.,DEN,"Denver, CO",SFO,"San Francisco, CA",967.0
Southwest Airlines Co.,DSM,"Des Moines, IA",DEN,"Denver, CO",589.0
American Airlines Inc.,BNA,"Nashville, TN",CLT,"Charlotte, NC",328.0
Southwest Airlines Co.,DAL,"Dallas, TX",COS,"Colorado Springs, CO",602.0
Frontier Airlines Inc.,MCO,"Orlando, FL",BNA,"Nashville, TN",616.0
Republic Airline,ATL,"Atlanta, GA",GSO,"Greensboro/High Point, NC",306.0
Endeavor Air Inc.,BGM,"Binghamton, NY",LGA,"New York, NY",147.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",RNO,"Reno, NV",345.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",LGB,"Long Beach, CA",588.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",ECP,"Panama City, FL",240.0
Delta Air Lines Inc.,JFK,"New York, NY",ATL,"Atlanta, GA",760.0
Spirit Air Lines,RSW,"Fort Myers, FL",MKE,"Milwaukee, WI",1183.0
ExpressJet Airlines LLC d/b/a aha!,IAH,"Houston, TX",LFT,"Lafayette, LA",201.0
American Airlines Inc.,DEN,"Denver, CO",CLT,"Charlotte, NC",1337.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",MAF,"Midland/Odessa, TX",309.0
SkyWest Airlines Inc.,AEX,"Alexandria, LA",DFW,"Dallas/Fort Worth, TX",285.0
United Air Lines Inc.,GRR,"Grand Rapids, MI",DEN,"Denver, CO",1015.0
SkyWest Airlines Inc.,MCW,"Mason City, IA",FOD,"Fort Dodge, IA",61.0
SkyWest Airlines Inc.,ASE,"Aspen, CO",DFW,"Dallas/Fort Worth, TX",701.0
SkyWest Airlines Inc.,SMF,"Sacramento, CA",LAX,"Los Angeles, CA",373.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",CHA,"Chattanooga, TN",695.0
United Air Lines Inc.,ORD,"Chicago, IL",HNL,"Honolulu, HI",4243.0
United Air Lines Inc.,OMA,"Omaha, NE",ORD,"Chicago, IL",416.0
Envoy Air,PIT,"Pittsburgh, PA",ORD,"Chicago, IL",413.0
Southwest Airlines Co.,OAK,"Oakland, CA",EUG,"Eugene, OR",445.0
Southwest Airlines Co.,DEN,"Denver, CO",ONT,"Ontario, CA",819.0
American Airlines Inc.,MEM,"Memphis, TN",DFW,"Dallas/Fort Worth, TX",431.0
Alaska Airlines Inc.,SEA,"Seattle, WA",SJC,"San Jose, CA",696.0
Hawaiian Airlines Inc.,BOS,"Boston, MA",HNL,"Honolulu, HI",5095.0
Delta Air Lines Inc.,ATL,"Atlanta, GA",LEX,"Lexington, KY",304.0
Delta Air Lines Inc.,MIA,"Miami, FL",ATL,"Atlanta, GA",594.0
American Airlines Inc.,CLT,"Charlotte, NC",PIT,"Pittsburgh, PA",366.0
Republic Airline,RDU,"Raleigh/Durham, NC",DCA,"Washington, DC",227.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",MEM,"Memphis, TN",431.0
United Air Lines Inc.,DEN,"Denver, CO",MIA,"Miami, FL",1709.0
Endeavor Air Inc.,DTW,"Detroit, MI",ROC,"Rochester, NY",296.0
Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA",MSP,"Minneapolis, MN",220.0
SkyWest Airlines Inc.,RAP,"Rapid City, SD",DEN,"Denver, CO",300.0
JetBlue Airways,SJU,"San Juan, PR",JFK,"New York, NY",1598.0
American Airlines Inc.,CLT,"Charlotte, NC",JAX,"Jacksonville, FL",328.0
Southwest Airlines Co.,ABQ,"Albuquerque, NM",LAX,"Los Angeles, CA",677.0
American Airlines Inc.,IND,"Indianapolis, IN",CLT,"Charlotte, NC",427.0
Republic Airline,JFK,"New York, NY",DCA,"Washington, DC",213.0
Endeavor Air Inc.,RST,"Rochester, MN",MSP,"Minneapolis, MN",76.0
Delta Air Lines Inc.,JAX,"Jacksonville, FL",ATL,"Atlanta, GA",270.0
Alaska Airlines Inc.,SIT,"Sitka, AK",JNU,"Juneau, AK",95.0
American Airlines Inc.,PHX,"Phoenix, AZ",PHL,"Philadelphia, PA",2075.0
Endeavor Air Inc.,BMI,"Bloomington/Normal, IL",DTW,"Detroit, MI",313.0
Southwest Airlines Co.,LAS,"Las Vegas, NV",ONT,"Ontario, CA",197.0
SkyWest Airlines Inc.,SBN,"South Bend, IN",DTW,"Detroit, MI",157.0
Endeavor Air Inc.,GSP,"Greer, SC",LGA,"New York, NY",610.0
American Airlines Inc.,ORD,"Chicago, IL",IAH,"Houston, TX",925.0
American Airlines Inc.,PHX,"Phoenix, AZ",AUS,"Austin, TX",872.0
American Airlines Inc.,PHL,"Philadelphia, PA",ORD,"Chicago, IL",678.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",SNA,"Santa Ana, CA",1205.0
PSA Airlines Inc.,PHL,"Philadelphia, PA",SAV,"Savannah, GA",629.0
Frontier Airlines Inc.,MCO,"Orlando, FL",RDU,"Raleigh/Durham, NC",534.0
Southwest Airlines Co.,LBB,"Lubbock, TX",DAL,"Dallas, TX",293.0
Southwest Airlines Co.,GEG,"Spokane, WA",SMF,"Sacramento, CA",649.0
Southwest Airlines Co.,DAL,"Dallas, TX",AUS,"Austin, TX",189.0
PSA Airlines Inc.,CLT,"Charlotte, NC",ABE,"Allentown/Bethlehem/Easton, PA",481.0
Delta Air Lines Inc.,MSY,"New Orleans, LA",LAX,"Los Angeles, CA",1670.0
Southwest Airlines Co.,DEN,"Denver, CO",OMA,"Omaha, NE",472.0
Southwest Airlines Co.,DAL,"Dallas, TX",IND,"Indianapolis, IN",755.0
Endeavor Air Inc.,CHO,"Charlottesville, VA",ATL,"Atlanta, GA",457.0
PSA Airlines Inc.,GPT,"Gulfport/Biloxi, MS",CLT,"Charlotte, NC",577.0
Southwest Airlines Co.,SJC,"San Jose, CA",SEA,"Seattle, WA",696.0
Republic Airline,PWM,"Portland, ME",DCA,"Washington, DC",482.0
Frontier Airlines Inc.,RSW,"Fort Myers, FL",PVD,"Providence, RI",1200.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",AUS,"Austin, TX",190.0
Spirit Air Lines,PHX,"Phoenix, AZ",STL,"St. Louis, MO",1262.0
American Airlines Inc.,BWI,"Baltimore, MD",CLT,"Charlotte, NC",361.0
SkyWest Airlines Inc.,SFO,"San Francisco, CA",RNO,"Reno, NV",192.0
Southwest Airlines Co.,PIT,"Pittsburgh, PA",MDW,"Chicago, IL",402.0
Endeavor Air Inc.,IND,"Indianapolis, IN",JFK,"New York, NY",665.0
Southwest Airlines Co.,MCO,"Orlando, FL",ROC,"Rochester, NY",1033.0
Endeavor Air Inc.,ROC,"Rochester, NY",LGA,"New York, NY",254.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",ATL,"Atlanta, GA",1587.0
Southwest Airlines Co.,MCI,"Kansas City, MO",LAS,"Las Vegas, NV",1139.0
Mesa Airlines Inc.,IAH,"Houston, TX",MEM,"Memphis, TN",468.0
PSA Airlines Inc.,PVD,"Providence, RI",CLT,"Charlotte, NC",683.0
SkyWest Airlines Inc.,SLC,"Salt Lake City, UT",GTF,"Great Falls, MT",463.0
Southwest Airlines Co.,FLL,"Fort Lauderdale, FL",MSY,"New Orleans, LA",674.0
American Airlines Inc.,PHX,"Phoenix, AZ",JFK,"New York, NY",2153.0
Delta Air Lines Inc.,BOS,"Boston, MA",SLC,"Salt Lake City, UT",2105.0
SkyWest Airlines Inc.,ACV,"Arcata/Eureka, CA",LAX,"Los Angeles, CA",577.0
Southwest Airlines Co.,CHS,"Charleston, SC",DAL,"Dallas, TX",977.0
Alaska Airlines Inc.,JNU,"Juneau, AK",YAK,"Yakutat, AK",198.0
SkyWest Airlines Inc.,GCC,"Gillette, WY",DEN,"Denver, CO",313.0
Endeavor Air Inc.,EWR,"Newark, NJ",MSP,"Minneapolis, MN",1008.0
Southwest Airlines Co.,BUR,"Burbank, CA",SJC,"San Jose, CA",296.0
American Airlines Inc.,ORD,"Chicago, IL",SJC,"San Jose, CA",1829.0
Delta Air Lines Inc.,DTW,"Detroit, MI",BOS,"Boston, MA",632.0
Allegiant Air,PGD,"Punta Gorda, FL",MEM,"Memphis, TN",733.0
JetBlue Airways,MCO,"Orlando, FL",HPN,"White Plains, NY",972.0
Allegiant Air,CVG,"Cincinnati, OH",MYR,"Myrtle Beach, SC",489.0
Mesa Airlines Inc.,LFT,"Lafayette, LA",DFW,"Dallas/Fort Worth, TX",351.0
Allegiant Air,PGD,"Punta Gorda, FL",PBG,"Plattsburgh, NY",1311.0
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",SNA,"Santa Ana, CA",588.0
American Airlines Inc.,SJC,"San Jose, CA",PHX,"Phoenix, AZ",621.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",SDF,"Louisville, KY",286.0
Southwest Airlines Co.,SAN,"San Diego, CA",HOU,"Houston, TX",1313.0
Horizon Air,PDX,"Portland, OR",SEA,"Seattle, WA",129.0
Southwest Airlines Co.,PHX,"Phoenix, AZ",LAS,"Las Vegas, NV",255.0
SkyWest Airlines Inc.,ORD,"Chicago, IL",SBN,"South Bend, IN",84.0
American Airlines Inc.,CLT,"Charlotte, NC",DEN,"Denver, CO",1337.0
Envoy Air,GSP,"Greer, SC",MIA,"Miami, FL",637.0
American Airlines Inc.,CLT,"Charlotte, NC",IND,"Indianapolis, IN",427.0
American Airlines Inc.,DFW,"Dallas/Fort Worth, TX",HNL,"Honolulu, HI",3784.0
Spirit Air Lines,MSP,"Minneapolis, MN",FLL,"Fort Lauderdale, FL",1487.0
PSA Airlines Inc.,PHL,"Philadelphia, PA",ORF,"Norfolk, VA",212.0
SkyWest Airlines Inc.,LAX,"Los Angeles, CA",ABQ,"Albuquerque, NM",677.0
SkyWest Airlines Inc.,DTW,"Detroit, MI",STL,"St. Louis, MO",440.0
