AIRLINE,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,DISTANCE
Frontier Airlines Inc.,IND,"Indianapolis, IN",DEN,"Denver, CO",977.0
United Air Lines Inc.,IAH,"Houston, TX",SAT,"San Antonio, TX",191.0
Endeavor Air Inc.,LGA,"New York, NY",PWM,"Portland, ME",269.0
Alaska Airlines Inc.,SEA,"Seattle, WA",ORD,"Chicago, IL",1721.0
American Airlines Inc.,TUL,"Tulsa, OK",DFW,"Dallas/Fort Worth, TX",237.0
American Airlines Inc.,PHL,"Philadelphia, PA",SAN,"San Diego, CA",2370.0
Envoy Air,GRK,"Killeen, TX",DFW,"Dallas/Fort Worth, TX",134.0
Southwest Airlines Co.,BNA,"Nashville, TN",ATL,"Atlanta, GA",214.0
Envoy Air,DFW,"Dallas/Fort Worth, TX",SBP,"San Luis Obispo, CA",1360.0
Republic Airline,ILM,"Wilmington, NC",LGA,"New York, NY",500.0
American Airlines Inc.,LAX,"Los Angeles, CA",KOA,"Kona, HI",2504.0
Delta Air Lines Inc.,CMH,"Columbus, OH",ATL,"Atlanta, GA",447.0
American Airlines Inc.,PHX,"Phoenix, AZ",DEN,"Denver, CO",602.0
PSA Airlines Inc.,CLT,"Charlotte, NC",GSP,"Greer, SC",75.0
Southwest Airlines Co.,DEN,"Denver, CO",LAS,"Las Vegas, NV",628.0
Endeavor Air Inc.,ATL,"Atlanta, GA",VLD,"Valdosta, GA",208.0
American Airlines Inc.,TPA,"Tampa, FL",MIA,"Miami, FL",204.0
Envoy Air,JLN,"Joplin, MO",DFW,"Dallas/Fort Worth, TX",327.0
Delta Air Lines Inc.,SLC,"Salt Lake City, UT",MCI,"Kansas City, MO",920.0
United Air Lines Inc.,ORD,"Chicago, IL",MSP,"Minneapolis, MN",334.0
Southwest Airlines Co.,MKE,"Milwaukee, WI",LAS,"Las Vegas, NV",1524.0
SkyWest Airlines Inc.,MSP,"Minneapolis, MN",MKE,"Milwaukee, WI",297.0
American Airlines Inc.,CLT,"Charlotte, NC",EWR,"Newark, NJ",529.0
Southwest Airlines Co.,BNA,"Nashville, TN",MCO,"Orlando, FL",616.0
Delta Air Lines Inc.,MCO,"Orlando, FL",LGA,"New York, NY",950.0
Spirit Air Lines,BWI,"Baltimore, MD",LAS,"Las Vegas, NV",2106.0
SkyWest Airlines Inc.,BIL,"Billings, MT",MSP,"Minneapolis, MN",748.0
Allegiant Air,BLI,"Bellingham, WA",PSP,"Palm Springs, CA",1078.0
Delta Air Lines Inc.,CHS,"Charleston, SC",ATL,"Atlanta, GA",259.0
American Airlines Inc.,RIC,"Richmond, VA",CLT,"Charlotte, NC",257.0
